sample	tech	region_tag	bam	chrom	length	bases	mean
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	chr21_region	46709983	4305917844	92.18
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	total	111154150	10529326739	94.73
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	total_region	111154150	10529326739	94.73
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	chr20	64444167	2990677263	46.41
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	chr20_region	64444167	2990677263	46.41
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	chr21	46709983	2057009220	44.04
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	chr21_region	46709983	2057009220	44.04
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	total	111154150	5047686483	45.41
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	total_region	111154150	5047686483	45.41
HG003	Illumina	chr20	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20.bam	chr20	64444167	3132845119	48.61
HG003	Illumina	chr20	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20.bam	chr20_region	64444167	3132845119	48.61
HG003	Illumina	chr20	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20.bam	total	64444167	3132845119	48.61
HG003	Illumina	chr20	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20.bam	total_region	64444167	3132845119	48.61
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	chr20	64444167	3132846470	48.61
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	chr20_region	64444167	3132846470	48.61
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	chr21	46709983	1903592301	40.75
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	chr21_region	46709983	1903592301	40.75
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	total	111154150	5036438771	45.31
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	total_region	111154150	5036438771	45.31
HG003	ONT	chr20	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20.bam	chr20	64444167	2620706239	40.67
HG003	ONT	chr20	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20.bam	chr20_region	64444167	2620706239	40.67
HG003	ONT	chr20	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20.bam	total	64444167	2620706239	40.67
HG003	ONT	chr20	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20.bam	total_region	64444167	2620706239	40.67
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	chr20	64444167	2620706239	40.67
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	chr20_region	64444167	2620706239	40.67
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	chr21	46709983	1762820030	37.74
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	chr21_region	46709983	1762820030	37.74
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	total	111154150	4383526269	39.44
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	total_region	111154150	4383526269	39.44
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	chr20	64444167	4791479943	74.35
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	chr20_region	64444167	4791479943	74.35
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	chr21	46709983	3228150754	69.11
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	chr21_region	46709983	3228150754	69.11
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	total	111154150	8019630697	72.15
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	total_region	111154150	8019630697	72.15
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	chr20	64444167	2170773704	33.68
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	chr20_region	64444167	2170773704	33.68
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	chr21	46709983	1465330724	31.37
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	chr21_region	46709983	1465330724	31.37
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	total	111154150	3636104428	32.71
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	total_region	111154150	3636104428	32.71
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	chr20	64444167	3497824304	54.28
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	chr20_region	64444167	3497824304	54.28
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	chr21	46709983	2112157658	45.22
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	chr21_region	46709983	2112157658	45.22
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	total	111154150	5609981962	50.47
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	total_region	111154150	5609981962	50.47
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	chr20	64444167	1977143105	30.68
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	chr20_region	64444167	1977143105	30.68
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	chr21	46709983	1348628627	28.87
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	chr21_region	46709983	1348628627	28.87
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	total	111154150	3325771732	29.92
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	total_region	111154150	3325771732	29.92
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	chr20	64444167	4423264820	68.64
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	chr20_region	64444167	4423264820	68.64
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	chr21	46709983	3000598076	64.24
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	chr21_region	46709983	3000598076	64.24
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	total	111154150	7423862896	66.79
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	total_region	111154150	7423862896	66.79
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	chr20	64444167	2446121715	37.96
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	chr20_region	64444167	2446121715	37.96
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	chr21	46709983	1651969449	35.37
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	chr21_region	46709983	1651969449	35.37
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	total	111154150	4098091164	36.87
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	total_region	111154150	4098091164	36.87
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	chr20	64444167	19306031402	299.58
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	chr20_region	64444167	19306031402	299.58
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	chr21	46709983	12166381293	260.47
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	chr21_region	46709983	12166381293	260.47
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	total	111154150	31472412695	283.14
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	total_region	111154150	31472412695	283.14
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	chr20	64444167	1851752084	28.73
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	chr20_region	64444167	1851752084	28.73
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	chr21	46709983	1325447083	28.38
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	chr21_region	46709983	1325447083	28.38
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	total	111154150	3177199167	28.58
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	total_region	111154150	3177199167	28.58
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	chr20	64444167	3816147126	59.22
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	chr20_region	64444167	3816147126	59.22
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	chr21	46709983	2730369368	58.45
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	chr21_region	46709983	2730369368	58.45
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	total	111154150	6546516494	58.90
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	total_region	111154150	6546516494	58.90
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	chr20	64444167	1964395042	30.48
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	chr20_region	64444167	1964395042	30.48
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	chr21	46709983	1404922285	30.08
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	chr21_region	46709983	1404922285	30.08
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	total	111154150	3369317327	30.31
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	total_region	111154150	3369317327	30.31
